Tweet,Date,Period
Replying to and LOOK As of 535 am four people including two senior citizens have lined up early in Xavier School to cast their vote All of them say they want to get ahead of the expected rush of voters via For more hashtagHalalan2022 stories visit,5/9/2022,DUR
Lets do this together once and floral 🤗 hashtagVoteWisely2022 hashtagHalalan2022,5/9/2022,DUR
and let me remind you HINDI NA TATAKBO SI VP LENI SA SUSUNOD NA ELEKSYON hashtagHalalan2022 hashtagEleksyon2022,5/9/2022,DUR
Teka may kumakatok gabinggabi na Mukang may lumalast hirit pa ng house to house Baka daw makaconvert pa hashtagHalalan2022,5/9/2022,DUR
I feel so robbed hashtagHalalanResults hashtagHalalan2022,5/9/2022,DUR
Hanggang sa pag boto may paandar kaparin LenLen 😆 😁 hashtagMarcosDuterte2022 hashtagHalalan2022 hashtagEleksyon2022,5/9/2022,DUR
Binanatan ng mga kakampink si Alex Gonzaga kaugnay ng Twitter post nito kung saan nanawagan siya na tapusin na ang bangayan at magkaayos na dahil tapos na ang eleksyon hashtagTunayNaTabloidista hashtagAbanteShowbiz hashtagHalalan2022 hashtagEleksyon2022,5/9/2022,DUR
I am proud to say na wala akong binoto sa coalition ng team orange sa las pinas hashtagHalalan2022,5/9/2022,DUR
hashtagHalalan2022 hashtagvoteformychildren DONE Arrived at the precint at 530am one of the perks of being injured I was given priority Praying for an honest election and may the Lord bless our country Makati,5/9/2022,DUR
Let it be known that only in the Philippines where the Presidential and Vice Presisential races have been incurred to have a linear trajectory in which voting trends have been at CONSTANT correlation and changes DINAYA KAYO and hashtagHalalan2022,5/9/2022,DUR
Sa twitter lang ata sikat si Mama Leni hashtagHalalan2022,5/9/2022,DUR
I stand with the students of the University of the Philippines UP Walk out and stand up for the Philippines hashtagElection2022PH hashtagHalalan2022,5/9/2022,DUR
THREAD Tinig ng Plaridel presents its live coverage of the 2022 national and local elections TNP reporters are stationed across the Metro Manila area to bring you updates on hashtagHalalan2022 Follow this Twitter thread for updates hashtagBumotoKa,5/9/2022,DUR
Tapos panget pa din ugali mo ngaun walang naimprove Double whammy ka jan kakampinkhashtagBitter hashtagkakampink hashtagHalalan2022,5/9/2022,DUR
OUR DEMOCRACY IS AT STAKE 🥹 hashtagHalalan2022,5/9/2022,DUR
My first election volunteer Tshirt hashtagHalalan2022,5/9/2022,DUR
Ipapanalo natin to 🌸 tulip hashtagIpana7oNa10ParaSaLahat hashtagHalalan2022,5/9/2022,DUR
THERE ARE A LOT OF SENATORS WHO HAVE A GOOD BACKGROUND IF YOU DID YOUR OWN RESEARCH PERO PINILI PA DIN YUNG ACTOR FOR WHAT REASON KASI KILALA KASI GWAPO KASI ARTISTA OR DAHIL SA SURNAME KASI WHAT I DONT FREAKING UNDERSTAND hashtagHalalan2022 hashtagElection2022,5/9/2022,DUR
PORMAL nang pinroklama ang nagbabalik alkalde ng Mandaluyong City na si dating Comelec Chairman Benjamin Abalos Sr at daughterinlaw na si Menchie Abalos hashtagTunayNaTabloidista hashtagAbanteNews hashtagBO2KO2 hashtagHalalan2022 hashtagAbantePilipinas hashtagEleksyon2022,5/9/2022,DUR
Best of luck Pilipinas May you have a good administration this time 🙏🏻 hashtagElection2022PH hashtagLeniKikoAllTheWay hashtagIpana70Na10ParaSaLahat,5/9/2022,DUR
Its cloudless here in Quezon City while its cloudy and rainy in most of Mindanao hashtagHalalan2022,5/9/2022,DUR
loudspeaker ANNOUNCEMENT Catch your eye catch your mind Hello Were Kep1er Trends This is not Kep1er related but very very important PH Kep1ians If you have registered in 2022 National and Local Elections EXERCISE YOUR RIGHT TO VOTE VOTE WISELY hashtagEleksyon2022 hashtagHalalan2022,5/9/2022,DUR
Done I was nervous that I wont be able to vote because I woke up at 2AM wsevere abdominal pain I thought I will be heading to the hospital I persisted By the time I finished voting my ab pain is gone Must be my anxiety 😮‍💨 Laban Pilipinas hashtagHalalan2022,5/9/2022,DUR
Vote wisely Philippines hashtagHalalan2022,5/9/2022,DUR
Truly dissaponted To comelec who i cant trust anymore15 minutes after election with1800failed vcms excited to proclaimed already their presidentI cant imagine how this happened I feel confusedmislead and was fooled by this resultsI will never accept this 🥵 😡 hashtagHalalan2022,5/9/2022,DUR
Its my brothers first time to vote We woke up half past five to vote early hashtagHalalan2022 Philippines sparkles 💖,5/9/2022,DUR
Replying to and Presidential bet Ping Lacson has finished voting for hashtagHalalan2022 via For more hashtagHalalan2022 stories visit,5/9/2022,DUR
Replying to and Presidential candidate Bongbong Marcos has finished voting for hashtagHalalan2022 via For more hashtagHalalan2022 stories visit,5/9/2022,DUR
Election anxiety is real today Ive never felt this nervous my entire life 🥲 🙏🏻 tulip hashtagHalalan2022,5/9/2022,DUR
Sana isang masamang panaginip lang ang lahat Hindi ko pinagsisihan na ikaw ang binoto ko hashtagHalalanResults hashtagHalalan2022,5/9/2022,DUR
good morning please dont vote liver lover boy kung may natitira ka pang utak yun lang ingat hashtagElection2022PH,5/9/2022,DUR
PUTAAA ANO NA WALA PA BANG PARTAL OFFCAL OR KAHT PARTAL UNOFFCAL hashtagEleksyon2022 hashtagHalalan2022,5/9/2022,DUR
LOOK Former Pasig Rep Dodot Jaworski proclaimed as city vice mayor via hashtagHalalan2022 Visit for partial and unofficial tally hashtagHalalanResults,5/9/2022,DUR
NOT CHANWOO RELATED Today is Philippines Presidential Election We remind everyone to vote wisely Wear your mask maintain social distancing stay hydrated keep safe ❤️ hashtagEleksyon2022 hashtagHalalan2022,5/9/2022,DUR
Our bgyo boys yes tama yan Vote wisely 💙 Philippines hashtagBGYO hashtagHalalan2022,5/9/2022,DUR
Presidential candidate and VP Leni Robredos daughters have arrived at Tabuco Central School in Naga City to cast their votes hashtagHalalan2022,5/9/2022,DUR
Lord Leni Robredo and Kiko Pangilinan please :folded_hands_mediumlight_skin_tone: 🥹 hashtagHalalan2022,5/9/2022,DUR
Today is the day to secure the future of our country Please vote wisely Praying for a safe election God bless our country Philippines 🙏 hashtagHalalan2022,5/9/2022,DUR
Replying to Anyway it was an honest mistake on their part and thankful I remembered 3 secs after SO PLEASE BE VIGILANT GUYS Know the process yourself so you can be on the lookout and not solely dependent on the staff or the poll watchers hashtagHalalan2022,5/9/2022,DUR
kids i feel you in 1998 i was disappointed by the country too this year i will be more than disappointed id be disgusted hashtagHalalan2022,5/9/2022,DUR
BREAKING As of 1017pm narito ang partial unofficial result ng senatorial race Total ERs processed 7391 hashtagAbanteNews hashtagBO2KO2 hashtagHalalan2022 hashtagAbantePilipinas hashtagEleksyon2022,5/9/2022,DUR
Kathryn Bernardo vote done vote wisely Philippines hashtagHalalan2022,5/9/2022,DUR
While COMELEC seems to be under fire on both sides credit to the tireless workers from P Bernardo High School in District 4 Quezon City Great crowd control and overall flow Salamat po sa inyong serbisyo hashtagHalalan2022,5/9/2022,DUR
I take comfort in the fact that when this is all over I can tell my boys that I fought for what I believe is right and that their parents were on the right side of history I am damn sure of that May 9 2022 Election 2022 hashtagElection2022PH,5/9/2022,DUR
pls go out and vote wisely today hashtagHalalan2022,5/9/2022,DUR
Replying to and Voters have started arriving at the Dasmarias Village Clubhouse in Makati City with 10 minutes to go until precincts open Vice presidential bet Dr Willie Ong is expected to cast his vote here at 9 am today via hashtagHalalan2022,5/9/2022,DUR
Replying to and Go to Malacaang or go home Lacson 1st to vote among presidential bets hashtagHalalan2022,5/9/2022,DUR
Fulfilled my end of the bargain now we wait in prayer Amen 🙏 Philippines tulip ribbon 💗 💚 hashtagHalalan2022 hashtagEleksyon2022 hashtagLeniKiko2022 hashtagLetLeniLead hashtagLeniRobredoForPresident hashtagKikoIsOurVP,5/9/2022,DUR
Okay Puta na mga nanay naming mga bumoto kay Robin Padilla Naghahanda ka na ba para matalo ulit sa 2028 election Hahahadouken hashtagHalalan2022 hashtagEleksyon2022,5/9/2022,DUR
LOOK Reelectionist Mayor Marcy Teodoro leads the mayoral race in Marikina following the 100 transmission of election returns hashtagHalalan2022 Visit for partial and unofficial tally hashtagHalalanResults,5/9/2022,DUR
Aksyon Demokratiko senatorial candidate seems to have accepted defeat in hashtagHalalan2022 Ramdam ko pagmamahal at panghihinayang nyo Ginawa ko lahat ng magagawa ko sa pagpapakilala na hindi ako gagastos ng milyon milyon Pasensya na kayo yun lang kinaya ko,5/9/2022,DUR
Praying for a clean honest and fair election God bless Pilipinas 🥹 hashtagHalalan2022,5/9/2022,DUR
Wag nyong hanapin si Yorme kung may pandemya ulit 🫠 jk lg hashtagPresident3Isko hashtagEleksyon2022 hashtagHalalan2022,5/9/2022,DUR
GOOD MORNING PHILIPPINES I AM PRAYING FOR EACH AND EVERYONE OF YOU LET THIS BE A SAFE AND JUST ELECTION TODAY HISTORY WILL BE MADE SA NGALAN NG PINAGLALABANG PAGBABAGO YOUR VOTES ARE YOUR OWN MAKE IT COUNT hashtagHalalan2022,5/9/2022,DUR
Huwag lang kayong makarekla reklamo sa buhay at isisisi sa gobyerno ang paghihirap nyo hashtagHalalan2022,5/9/2022,DUR
done voting ✅ in and out in just 30 minutes hashtagHalalan2022,5/9/2022,DUR
5350 of the Nationwide Election Returns 57669 of 107785 Election Returns 30315356 of 67442616 Registered Voters Unofficial results 535 of election returns in 2 hours Possible ba yun hashtagHalalan2022,5/9/2022,DUR
For those going to vote right now please try to wear neutral colors that dont represent any political party Better be safe than sorry with how corrupt this country is I may be agnostic but this could be the first time i pray in years hashtagLeniRobredoForPresident hashtagEleksyon2022,5/9/2022,DUR
Heading out to vote Good luck Philippines hashtagIpana7oNa10ParaSaLahat hashtagLeniKiko2022 hashtagHalalan2022,5/9/2022,DUR
the fucking ballot printing machine died on me so it didnt give me my voter receipt tho i made sure my vote was casted so this is my only proof that i just voted hashtagHalalan2022,5/9/2022,DUR
MusicSnake Stack Sats feat Ben Armstrong twclid2ueu8jo3itqli95y3tsh90t1u hashtagBitcoin hashtagstacksats,5/9/2022,DUR
STILL AT THE PH CONSULATE WAITING FOR VOTE COUNTS FOR BC NORTHWEST TERRITORIES AND YUKON VOTES FOR hashtagHALALAN2022,5/9/2022,DUR
bumoto na ba ang kabataan hashtagEleksyon2022 hashtagHalalan2022,5/9/2022,DUR
This is it Go out and vote WISELY peeps hashtagHalalan2022,5/9/2022,DUR
First time ko pumatol sa Tita ko na BBM supporter 6 months ko din sya tiniis sa GC namen Papunta palang tayo sa exciting part Tita hashtagHalalan2022 hashtagEleksyon2022,5/9/2022,DUR
Kung sira yung VCM and pinapaiwan yung ballots para sila na lang daw ang magpasok please huwag na huwag kayong papayag Nobody else but you should feed the ballot into the machine dapat makita niyo rin sa receipt kung tama yung lumabas na binoto ninyo hashtagHalalan2022,5/9/2022,DUR
Dear Pinklawans Consider this as payback nalang din sa lahat ng pangaalipusta nyo in the past 6yrs Tandaan nyo mayaman o mahirap matalino o hinde pantay ang karapatan kapag eleksyon Were all on even ground kaso mas madami kami hashtagEleksyon2022 hashtagHalalan2022,5/9/2022,DUR
Philippines holds historic first national election in pandemic hashtagHalalan2022,5/9/2022,DUR
READ Leni Robredo statement on the outcome of the 2022 elections hashtagHalalan2022,5/9/2022,DUR
Vote Wisely Pilipinas Philippines hashtagHalalan2022,5/9/2022,DUR
Not SB19 related A morning reminder that you have the power to change the future through your vote Use it wisely hashtagHalalan2022,5/9/2022,DUR
Halalan updates All you need to know about Philippines 2022 elections hashtagHalalan2022,5/9/2022,DUR
Replying to Kahit mahirap tanggapin Kahit mahirap kilalanin Kahit mahirap harapin Basta tumindig kasama ang kapwaPilipino mula sa ibat ibang lakad ng buhay yan ang mahalaga Hindi pa naman tapos ang laban Pero maraming salamat VP sa pagtindig hashtagHalalan2022 hashtagEleksyon2022,5/9/2022,DUR
hashtagHalalan2022 hashtagHalalanResults,5/9/2022,DUR
Praying for a peaceful clean and honest election Philippines 🙏🏻 hashtagWeDecide hashtagEleksyon2022 hashtagHalalan2022,5/9/2022,DUR
Kahit sino ang manalo susuportahan ko at bibigyan ng tyansa na mapaunlad nya ang Pilipinas Basta malinis na pagkapanalo Go go go tayo dyan :smiling_face_with_hearteyes: Bukas na ang halalan naeexcite ako GOD bless you mahal kong Pilipinas Philippines hashtagHalalan2022 hashtagEleksyon2022,5/9/2022,DUR
Basta ako alam kong karapat dapat ang mga ibinoto ko ayon sa kanilang track records Hindi ako kasama sa mga ULAGANG PILIPINO na bumoto sa tiwali ✌️ hashtagHalalan2022 hashtagHalalanResults,5/9/2022,DUR
Iba talaga kapag may inaalalanka nang kinabukasan ng sarili mong mga anak ano This is the first time I gave all out for a campaign from campaign donations rallies and now poll watching hehe My love and hate relationship with Pinas hashtagHalalan2022,5/9/2022,DUR
Replying to and LOOK Voting has officially begun at the Dasmarias Village Clubhouse in Makati City via hashtagHalalan2022,5/9/2022,DUR
Have exercised my right to vote AS A FIRST TIME VOTER grabe yung kaba and nginig ko bago magshade HAHAHA To those registered go out and vote now YOUR VOTE MATTERS GOOD MORNING hashtagElection2022PH,5/9/2022,DUR
how can you start counting votes when so many people are still waiting to cast their votes in make it make sense hashtagHalalan2022,5/9/2022,DUR
Matutulog nang maaga for tomorrows hashtagHalalan2022 marathon Anxious and excited at the same time so sana makatulog 😥,5/9/2022,DUR
Replying to Voters lining up to vote in the southern Philippine island of Mindanao to cast their ballots in the 2022 presidential elections My story hashtagHalalan2022 hashtagVotePH hashtagEleksyon2022 hashtagBilangPilipino2022,5/9/2022,DUR
Lord hear our cry Come heal our land Breathe life into thesesouls hashtagLiwanagSaDilim hashtagelection2022PH,5/9/2022,DUR
Walang nasayang hibiscus Oh diba ang positive lang kesa sa last 2016 na sinabi na nandaya siya after 3 attempts of recount talagang talo :seenoevil_monkey: 🤮 🤮 sorry sorryyy hashtagLeniRobredoForPresident hashtagLeni hashtagHalalanResults hashtagHalalan2022,5/9/2022,DUR
ako noong nakita kung sino ang mga lamang sa hashtagHalalan2022,5/9/2022,DUR
Done doing our part Ikaw naman hashtagHalalan2022 hashtagEleksyon2022,5/9/2022,DUR
Replying to Partial and Unofficial Results as of 532 AM May 10 2022 representing 9492 of the Nationwide Election Returns 102307 of 107785 Election Returns 53490474 of 67442616 Registered Voters hashtagHalalan2022 12 hours after the election halos tapos na ang bilangan,5/9/2022,DUR
Plot twist yung mga sinasabi niyong nag last minute switch binobola lang kayo para hindi na kayo war freak sa kanila 🤣 BBM SARA namamayagpag samin at sa lahat halos ng dako 💚 ♥️ eagle tiger Dun po tayo sa hindi puppet ng LP hashtagEleksyon2022 hashtagHalalan2022 VOTE WISELY DONE VOTING,5/9/2022,DUR
Good Morning Philippines Go and exercise your power and right to vote Vote wisely Praying for an honest and peaceful election Lord we hope this time it will be the Philippines who will win 🙏🏻 Take care Be safe 😊 hashtagEleksyon2022 hashtagHalalan2022,5/9/2022,DUR
Presidential candidate now inside his precinct here at Mariano Marcos Elementary School in Batac Ilocos Norte hashtagEleksyon2022 hashtagHalalan2022 hashtag2022elections hashtagphvote,5/9/2022,DUR
Almost all VCMs ready for use at start of hashtagHalalan2022 Comelec,5/9/2022,DUR
The government has the power to change our lives but we have the power to change our government Catriona Gray Today is the day we decide our countrys future Please vote wisely Lets do it for the Philippines hashtagHalalan2022,5/9/2022,DUR
Attention BBM supporters Ung mga hindi bumoto kay Gibo at Harry Lika nga kayo magusap nga tayo 😂 😂 😂 hashtagHalalan2022,5/9/2022,DUR
Vote Casted Philippines 💯 As a first time voter Im very proud to be part of this Election and Vote for the future of every Filipino Sa mga di pa po nakaboboto Please Vote Wisely Nakasalalay sa mga kamay natin ang ating kinabukasan sa susunod na 6 na taon Philippines 🌸 💗 hashtagHalalan2022,5/9/2022,DUR
This is for our country please vote wisely for my futureand our future generations to come pilipinas 😭 Philippines hashtagHalalan2022,5/9/2022,DUR
Sana may screed record or anything to fully prove this Lantaran hashtagHalalan2022 ano na,5/9/2022,DUR
Comelec All reported malfunctioning VCMs fixed Malfunctioning VCMs since early morning Precinct 5556A 5557A 5558A 5559A 5560A 5561A 5562A 5562B Teachers Village Precinct 0919A D Tuazon Elem School Precinct 160 Muntinlupa Natl High Ano na Comelec hashtagHalalan2022,5/9/2022,DUR
7 votes for LeniKiko from my family 🌸 hashtagHALALAN2022 hashtagIpanalona10to tulip,5/9/2022,DUR
WATCH Actorpolitician Jhong Hilario has arrived in Bangkal Elementary School to cast his vote Hilario is seeking for a fresh term as Makati councilor via For more hashtagHalalan2022 stories visit,5/9/2022,DUR
ELECTION UNO REVERSE CARD PLS hashtagHalalanPH2022 hashtagHalalan2022 hashtagLeniRobredoForPresident hashtagKikoForVicePresident,5/9/2022,DUR
Exciting to see also in the results which among the four bellwether provinces would continue its winning streak in the last 6 or 7 elections Will Pampanga Agusan Del Norte Basilan and Lanao del Sur predict the overall winner hashtagHalalan2022,5/9/2022,DUR
725 AM Im done casting my votes with Rosie na uhaw sa good governance 🤣 Vote wisely everyone BAYAN MUNA BAGO ANG SARILI Philippines tulip hashtagHalalan2022 hashtagEleksyon2022 hashtagVoteSAFEPilipinas,5/9/2022,DUR
DDAY hashtagElection2022PH,5/9/2022,DUR
Nagumpisa na ang ballot validation ngayong huling araw ng botohan dito sa Paris Ngayong araw rin bibilangan ang mga balota ng manual voting dito sa France via Bong Agustinez hashtagTFCNews hashtagHalalan2022,5/9/2022,DUR
Ay putek Nakatulog ako Nadaya nnman ba tayo 🫣 hashtagHalalan2022,5/9/2022,DUR
LOOK Voters arrive and line up early at Xavier School in San Juan City The precincts open at 6am A total of 281 police personnel were deployed in different areas and polling precincts in the city For more hashtagHalalan2022 stories visit,5/9/2022,DUR
Replying to Reminder for voters hashtagEleksyon2022 hashtagHalalan2022 hashtag2022elections hashtagphvote,5/9/2022,DUR
todays the day praying for fair clean election 🙏🏻 VOTE WISELY hashtagHalalan2022,5/9/2022,DUR
Replying to and LOOK Former Pasig Rep Dodot Jaworski has been proclaimed as the new city vice mayor via hashtagHalalan2022 Visit for partial and unofficial tally hashtagHalalanResults,5/9/2022,DUR
Its Election Day in the Philippines Here are some reminders for those voting hashtagEleksyon2022 hashtagHalalan2022,5/9/2022,DUR
Replying to Finally hashtagLeniKikoAllTheWay hashtagHalalan2022,5/9/2022,DUR
Problema pala sa VCM kung bakit hindi gumagana because of Fucking SD CARDS guys alam na hashtagHalalan2022 hashtagHalalanResults,5/9/2022,DUR
As a first time voter I have never been this anxious A reminder to exercise your right to vote 33 hashtagEleksyon2022,5/9/2022,DUR
Replying to 0549 Only 10 voters can wait outside the classroom assigned to our precinct cluster presumably for social distancing purposes Subsequent voters are to wait in an adjacent Waiting Area hashtagHalalan2022 hashtagEleksyon2022,5/9/2022,DUR
Vote Wisely Besties Philippines hashtagHalalan2022,5/9/2022,DUR
For our sakeand that of our children I certainly hope so Vote wisely Make your vote count 10 💖 7 💚 hashtagHalalan2022,5/9/2022,DUR
hashtagExtendVotingHoursPH hashtagHalalan2022 hashtagExtendHalalan2022 hashtagEleksyon2022,5/9/2022,DUR
Anxiety for Leni Kiko ❌ Anxiety for failure ✅ hashtagHalalan2022 hashtagHalalanPH hashtagExtendVotingHoursPH hashtagExtendVotingHours hashtagCOMELECpalpak,5/9/2022,DUR
Eugenio Jose Bong Lacson and Jeffrey Ferrer are on their way to remaining as governor and vice governor respectively of Negros Occidental hashtagHalalan2022,5/9/2022,DUR
More volunteers for ppcrv please hashtagHalalan2022 hashtagHalalanResults,5/9/2022,DUR
Elections results saddened me Im hoping and praying may the new elected President will never follow what his fathers footsteps again 🙏 hashtagHalalan2022,5/9/2022,DUR
Replying to Of course kasama ako dun Proud ako sa mga binoto ko Mula ako sa pamilya ng mga Marcos loyalists na kahit ako lang ang magisang tumitindig ay masaya sa aking balota hashtagHalalan2022,5/9/2022,DUR
also for your safety avoid going in to voting precincts wearing affiliated colored shirts hashtaghalalan2022,5/9/2022,DUR
hashtagHalalan2022 hashtagHalalan hashtagVotePH hashtagBBMSaraUNITEAM hashtagBBMSARA2022,5/9/2022,DUR
Replying to hashtagHalalan2022 Marcos votes reach 30M as Leni falls behind further,5/9/2022,DUR
this didnt kill me but something inside me died today hashtagHalalan2022,5/9/2022,DUR
Good Morning Armies Your one vote can make a difference Make it count Vote Wisely Lets pray for a fair and honest election 🙏🏻 🌸 Philippines hashtagHalalan2022,5/9/2022,DUR
After hashtagHalalan2022 Ping Lacson says Im going home,5/9/2022,DUR
ayoko na Pilipinas suko na ko sayo hashtagHalalan2022 hashtagEleksyon2022,5/9/2022,DUR
Paano kakakalma the percentage in vote tally ang bilis hashtagHalalan2022 hashtagElection2022,5/9/2022,DUR
Ang daming sulat sa palad hashtagHalalan2022,5/9/2022,DUR
Kinakabahana ko hashtagHalalan2022,5/9/2022,DUR
May we have a clean honest and peaceful election And may we vote wisely para sa future natin ng pamilya natin ng mga kaibigan at kakilala natin at para sa bayan 🙏🏻 Philippines hashtagHalalan2022,5/9/2022,DUR
Replying to and Senator Ping Lacson being interviewed by media while waiting for turn to vote says he feels upbeat via hashtagHalalan2022,5/9/2022,DUR
Replying to and A selfless love for the country hashtagHalalan2022,5/9/2022,DUR
we have nothing to be ashamed of we have nothing to fear we chose the right candidates we fought for them shared our talents and gifts to them stand firm dahil pilipino tayo hindi tayo nagpapatinag sa bagyo hashtagHalalan2022 hashtagLetLeniLead hashtagLeniKiko2022,5/9/2022,DUR
Im not a voter but Im praying for a clean and credible election I hope the majority of Filipinos will elect the right one God bless 🙏🏻 hashtagHalalan2022,5/9/2022,DUR
Trending mn kaayo oy 😂 after all Isig iya ra jpon tag paningkamot hashtagHalalan2022,5/9/2022,DUR
Kahit sa senador hindi papasok si leni eh sa presidente pa kaya hashtagLeni EDSA VITORY PARTY hashtagHalalan2022,5/9/2022,DUR
Hahahaha dba panalo na kayo bakit d nyo pa matanggap na panalo dto sa iloilo c VP leni 😂 😂 🖕 🖕 🖕 🖕 hashtagHalalan2022 hashtagLeniKiko,5/9/2022,DUR
Lets exercise our rights Go out and vote Be safe wear a facemask bring alcohol hashtaghalalan2022 hashtageleksyon2022 Melencio M Castelo Elem School,5/9/2022,DUR
today is the day aaaaa vote wisely everyone praying for a fair and clean election 💗 💚 Philippines hashtagHalalan2022,5/9/2022,DUR
GOD HELP US DELIVER OURSELVES FROM EVIL hashtagHalalan2022 hashtagPHVote hashtagBilangPilipino2022 hashtagWeDecide,5/9/2022,DUR
TO THOSE WHO WILL VOTE TODAY PLEASE VOTE WISELY ☺️ OUR FUTURE ALSO DEPENDS ON YOUR VOTE hashtagHalalan2022,5/9/2022,DUR
Election Day Taking the plunge for democracy hashtagHalalan2022,5/9/2022,DUR
LOOK Las Pinas Canvassing Board proclaims Rep Camille Villar reelected to 2nd term via hashtagHalalan2022 camera Office of Rep Villar Visit for the partial and unofficial tally hashtagHalalanResults,5/9/2022,DUR
Botohan sa dalawang clustered precinct sa Mariano Ponce Elementary School Sta Cruz Maynila naantala matapos magkaproblema ang 2 vote counting machines via hashtagHalalan2022,5/9/2022,DUR
hashtagEleksyon2022 hoy ang aga aga dami ng twts na sira machine at ang option na binibigay is iwan at yung mga taga Comelec ang maginsert sa machine pg ok na How many will take that up imagine what if you need to leave na Huhu,5/9/2022,DUR
Guys theres a difference between Basilan Basilan Island 🏝️ and Banisilan Lanao del Sur Central Mindanao Please be follow through Thanks hashtagHalalan2022,5/9/2022,DUR
vote wisely filos Philippines hashtagHalalan2022,5/9/2022,DUR
Replying to The first ballots for hashtagHalalan2022 at this classroom in Mariano Marcos Memorial Elementary School have already been cast via camera Jonathan Cellona ABSCBN News,5/9/2022,DUR
Mukhang ikaw lang ang pinakamagandang nangyari sa election na to Congratulations hashtagHalalanResults hashtagHalalan2022,5/9/2022,DUR
2022 National elections puts the 2016 VP elections in to a question haha Pero sige lang nadesisyunan na yun ng korte eh inyo na yun Ang importante naman eh TALO KAYO NGAYONG 2022 COMPLETE WIPEOUT Except kay Risa Mukhang makakalusot hashtagHalalan2022 hashtagEleksyon2022,5/9/2022,DUR
Hello first batch kami ng boboto dito sa Sauyo Elementary School at corrupted na daw ho ang SD card ng precinct cluster namin Room 2 Castello Building hashtagHalalan2022,5/9/2022,DUR
LOOK Irene MarcosAraneta younger sister of presidential candidate arrives here at Mariano Marcos Elementary School to cast her vote hashtagEleksyon2022 hashtagHalalan2022 hashtag2022elections hashtagphvote,5/9/2022,DUR
Action star tv personality mga baliksenado sa Magic 12 hashtagTunayNaTabloidista hashtagAbanteNews hashtagBO2KO2 hashtagAbantePilipinas hashtagHalalan2022 hashtagEleksyon2022 hashtagRobinPadilla hashtagRaffyTulfo,5/9/2022,DUR
Election Day Polls are open from 6am to 7pm Go out mga kababayan and exercise your right to vote Ingat po Vote wisely hashtagHalalan2022,5/9/2022,DUR
Alright now to get that welldeserved win and restore hope for The Philippines once and for all 💗 tulip 💕 ribbon Philippines hashtagLeniKiko2022 hashtagipana7ona10toparasalahat Thy will be done 🙏 hashtagHalalan2022,5/9/2022,DUR
Im happy knowing I stood at the right side of history Vote Wisely Pilipinas Philippines 🌸 💕 hashtagHalalan2022,5/9/2022,DUR
Napaka generous naman pi sa indellible ink HAHAHHAHA but jokes aside I have now done my part as a citizen of the Philippines and as a watchdog of society Lagitlagi para sa bayan hashtagHalalan2022,5/9/2022,DUR
Wag na tayo mang lokohanplastikan 😂 😂 😂 ganito na ang kultura ng election sa Pilipinas basta kapang nasa FINAL LIST ka hindi ka mawawalan 500php 1x 200php 3x 100php 3x 😂 😂 😂 😂 VOTE WISELY hashtagEleksyon2022 hashtagHalalan2022,5/9/2022,DUR
Precinct 585B Las Pias represent 0450 Theyre allowing voters to queue outside the assigned room for their precinct Electoral board memberssupport staff are arriving just now hashtagHalalan2022,5/9/2022,DUR
Replying to Sir Maam we know our history hashtagEleksyon2022 hashtagHalalan2022,5/9/2022,DUR
Tuwangtuwa sila kasi panalo kandidato nila Pero talo naman ang Pilipinas hashtagElection2022PH hashtagHalalan2022,5/9/2022,DUR
Good morning Today is the day Lets go out and make it happen hashtagHalalan2022,5/9/2022,DUR
hashtagInshaAllah Good doers this hashtagHalalan2022 cc Quote,5/9/2022,DUR
just heard a pollwatcher say di na uso makabayan ngayon makapera na kaya walang pagbabago sa pilipinas hashtagHalalan2022,5/9/2022,DUR
Machine failures Not one but hundreds of VCMs and SD Cards Look how unprepared and disappointing you all are Nakakadismaya Nagkakadayaan May mga namatay na hashtagHalalanPH hashtagHALALAN2022,5/9/2022,DUR
Kinda expecting the partial and unofficial results of the election as after I voted 70 to 80 that I asked voted for them 😥 hashtagHalalan2022,5/9/2022,DUR
TINGNAN Sitwasyon sa labas ng Paranaque National High school kung saan inaasahang boboto si incumbent Mayor Edwin Olivarez na tumatakbo bilang 1st district representative Dito din boboto si Cong Eric Olivarez na kumakandidato bilang alkalde hashtagHalalan2022,5/9/2022,DUR
So Im in the holding area and i think i tink my grade school crush is here too 🥹 😂 hashtagHalalan2022,5/9/2022,DUR
Pilipinas may problema ba kayo sa matitinong leaders hashtagHalalan2022,5/9/2022,DUR
Replying to Aksyon Demokratiko vice presidential candidate Dr Willie Ong is done voting at the Dasmarias Village Clubhouse in Makati City 📹 Doc Willie Ong Media Team hashtagHalalan2022,5/9/2022,DUR
CONGRATULATIONS LENI ROBREDO BILANG BAGONG PRESIDENTE hashtagHalalan2022 hashtagElection2022PH,5/9/2022,DUR
Vote wisely For a good governance and better future ng Pilipinas Lord guide us all Sa bandang huli ang kabutihan pa din ang mananaig THY WILL BE DONE 🙏🏻 hashtagHalalan2022 hashtagLeniRobredoForPresident hashtagLenSlide hashtagTropangAngatAllTheWay hashtagIbotoNa10Pilipinas,5/9/2022,DUR
Praying for a clean election and for a kulay rosas na bukas Lord let Your will be done 🙏 🤍 hashtagHalalan2022 hashtagEleksyon2022 hashtagPhilippineElections2022,5/9/2022,DUR
Update ho imamanual voting daw po kami SOS hashtagHalalan2022 hashtagWeDecide,5/9/2022,DUR
