Tweets,Date,Username,Number of Retweets,Number of Likes
"Im not crying. I am strong 🥹🥹🥹
#MakatiIsPink #PilipinasIsPink #MahalinNatinAngPilipinas #Kakampink #Ipana7oNa10ParaSaLahat #LeniKikoMitingDeAvance #LeniLiwanagSaDilim #Halalan2022",5/7/2022,itsmeben6161,0,0
"Assigned my students short essays on elections in the Philippines  & having my non-Filipino students quoting ""kakampink"" in their essays makes me really, really happy #Halalan2022",5/7/2022,MaryAnneSMM,0,13
"Bashing other candidates & their supporters would just make them more defensive. So instead of focusing energy on what you don’t like about them, why not just share WHY YOU BELIEVE in your candidate, thereby educating those who are still undecided. #Halalan2022 
#Kakampink🇵🇭#BBM",5/6/2022,LifeChampi0n,0,0
"WATCH: Supporters of the Leni-Kiko tandem greeted protesters with labor groups led by presidential aspirant Leody de Guzman.

“Ingat po kayo,” one ‘Kakampink’ said. #Halalan2022 | 
@ABSCBNNews",5/1/2022,josiahvantonio,7,23
"Kakampinks at the church premises.
Yes, we are one with you.

#kakampink #letlenilead #halalan2022",5/7/2022,Smbabijes,0,0
"Mga kakampink!!! Ano ba talaga ang meron sa utak nyo? Curious lang ako. Bakit kayo ganyan? Mananalo kayo sa ganyang ugali?
#AnyOneButLeni #Halalan2022 #VoteConservative #10RobredoForPresident #Kapatid #YetToCome #AngatBuhayLahat",5/7/2022,iamDjMj69,0,0
"Sa EDSA ako sumakay (around 10 a.m), ang daming UNITEAM, papuntang MOA. Sa Tren ako sumakay (around 3 p.m), madaming KakamPINK papuntang AYALA. Mag ingat kayong lahat. Last day na. Pray that the president that will win, will be a good leader. 
#Halalan2022",5/7/2022,kirstentheloml,0,2
"From one #Kakampink to another, can I just inform whoever is behind this channel that the versions of the song are in different LANGUAGES, not dialects. ;D

Video: https://youtu.be/CthiN9r6-Ck

#LetLeniKikoLead 
#LeniKiko2022
#Halalan2022",5/6/2022,tclinguistics,3,4
Just realized that Sasha is a Kakampink. #amphibia #KakamPINK #LeniKiko2022 #Halalan2022,5/3/2022,dalisay_agm,0,2
"mga Kakampink na pupunta sa Meeting de Avance bukas, mag ingat tayong lahat! Boboto pa tayo sa Lunes !! 💕🤘
#IpanaloNa10ToParaSaLahat
#LeniKiko2022 
#Halalan2022",5/6/2022,LauwiiSor,1,1
"Salamat Kakampink @Eli_Chicho for the Ticket! Makisama at sumuporta sa #ANGATLETA na tumitindig para sa magaling at maasahang pinuno
#LeniKikoAllTheWay2022 #TropangAngatAllTheWay #IpanaloNa10To
#KikoAngManokKo
#Halalan2022",5/3/2022,ace95467236,1,7
"short kakampink story 🌸🌾

#KulayRosasAngBukas #LeniRobredo #Halalan2022 

 (1)
 I was buying hopia from a vendor samin, then my neighbor was talking about politics tas i heard them saying “feel ko naman mananalo si bBm”",5/6/2022,instachuu_,0,3
"""Black is Out, PINK IS IN!!!""
Another celebrity Kakampink comes out, Maja Salvador declares support for Leni Robredo. 
#Halalan2022",5/7/2022,PhilNews247,0,0
"Kakampink join this space #Halalan2022

https://twitter.com/i/spaces/1yNGaYXdBVQGj",5/5/2022,CorniJay,0,1
"This. Ito yung reason why tho I'm a kakampink, i can't do house to house. It feels so much like being in sales or so. House to house nga lang and selling the people you're into for #halalan2022 ",5/3/2022,kg_0917,0,1
These kakampink sorties had me playing OPM again and this Yano song is just among those with strong political message #LeniKikoAllTheWay2022 #LeniRobredo #Halalan2022 #BOBOtoKA,5/3/2022,CRISis73,0,0
"#halalan2022 leni lugaw!!! paki-educate po ako sa dms if kakampink ka na 180cm, scorpio, demonic cultivator, dizi player, at mahilig sa alak",5/6/2022,wanningq,0,3
"Gora na mga #kakampink! 

Arä si VP Leni Robredo kag Sen. Kiko Pangilinan sa Victorias, Negros Occ., sa Martes, May 3. 

#LeniKikoAllTheWay2022
#10LeniRobredoPresident
#7KikoPangilinanVicePresident
#Halalan2022",5/1/2022,FraseTweeting,0,0
"Nagtaray sa rally ng mga kakampink! Gordon pinasisipa sa senatorial slate 
https://newsko.com.ph/2022/05/01/nagtaray-sa-rally-ng-mga-kakampink-gordon-pinasisipa-sa-senatorial-slate/
#NewskoNews
#Halalan2022",5/1/2022,NewsKoPH,0,0
"HAHAHAHHAHA Ganto mindset ng ibang tao. Nakakalungkot. #Ipana7oNa10ParaSaLahat
#Halalan2022 #Kakampink https://twitter.com/MadamAnalynMuko/status/1522797582472294401",5/7/2022,maritesaling20,0,1
"May nakasabay kami na mga Pinoy sa bus! Hubby and I wearing our Leni shirts. kinilig kami, kakampink din! Hahaha ang batian namin “Hi, sabay L sign!” #LeniKikoAllTheWay2022 #ofw #Halalan2022",5/7/2022,hahpinesses,0,1
"Finale walk for Leni - Kiko with ⁦
@rpc_makati
⁩! Mamimiss ko to gawin every Friday! Thank you RPC Makati for organizing! 🌸💕 #lenikiko2022 #halalan2022 #kakampink",5/6/2022,shaefacvndo,0,3
"to bring you comfort guys lalo na sa inaatake ng anxiety, 5/6 na kakampink sa bahay and don’t worry sa isa, isinama namin sya sa last rally and she really enjoyed it. 🥺🌸 #Halalan2022",5/5/2022,kuzokusunoki,0,5
"Maraming salamat sa pagtindig, mga kakampink! Tuloy lang ang laban para sa minimithing pagbabago!

#Halalan2022 #GobyernongTapatAngatBuhayLahat #LeniKikoAllTheWay2022 
#LeniKiko2022 
#kakampINC",5/3/2022,nchtjm,1,8
"Sa mga may car dyan or any service... voter turnout ang laban natin for #Halalan2022 Yung mga kakilala niyong #kakampink na hirap sa transpo, tulungan niyo silang makarating sa voting precincts para lahat tayo makaboto for #LeniKiko2022 Tara na! #Ipana7oNa10ParaSaLahat",5/6/2022,CrisostomoJake,0,0
"I do think that they are saying na fake news daw mga news channel kasi mostly mga artista in that channel is kakampink. Lalo na sa abs-cbn sasabihin para sa prangkisa but Vice Ganda already talked about their franchise on how it already -

#HALALAN2022
https://twitter.com/i/spaces/1YqGopgEbOXJvv",5/5/2022,Jabinalesssssss,0,0
"What a great discourse we had with our Grab driver last night. here's to hoping we've converted him to being a #Kakampink. Tao sa tao lang talaga na may puso!

ONLY 7 DAYS REMAINING 'TIL WE DETERMINE THE FATE OF OUR COUNTRY! 
@lenirobredo
 
@kikopangilinan

#LeniKiko202 #Halalan2022",5/2/2022,franzhalili,1,1
"Nanindigan na rin ang aktres na si Shaina Magdayao.
This is the short but striking statement of Shaina Magdayao when she revealed she's a ""Kakampink"".
#Halalan2022",5/4/2022,PhilNews247,0,0
"Bayanihan Indeed 🌸💖🌸💖 
@lenirobredo
 #Kakampink #TanglawLagunaRally #LeniForPresident2022 #WeDecide #Halalan2022",5/5/2022,meistumz,0,1
"Start of a very long day for me today!!!!! RDOT duty in a bit then Meeting De Avance later!!!! Kung si 
@lenirobredo
 at 
@kikopangilinan
 hindi napapagod sa mga araw araw na ganap nila, Siyempre lalaban din ako! Lalaban tayo!!!! #LeniKiko2022 #Kakampink #Halalan2022",5/7/2022,shaefacvndo,0,5
"IPAPANALO NA10 ITO SA DARATING NA MAY 09, 2022!!! Being part of the 780,000 ++++ #Kakampink feels so surreal. After hearing the speech of 
@lenirobredo
 & 
@kikopangilinan
 alam mo na hindi ka nagkamali sa mga taong iboboto mo!! #MakatiIsPink #LeniKiko2022 #Halalan2022",5/7/2022,shaefacvndo,0,2
"We are part of history! 
Salamat sa pagtindig mga kakampink!
Let’s vote for the change we want!
#ipanalona10to #halalan2022 #kakampink",5/7/2022,datahunter84,0,9
"May 6,while INC members ay ngsasagawa ng solemne sa Quezon City. Anjan na nmn ang mga kakampink na mga BASTOS. Wlang RESPETO tangina. 

#Halalan2022

https://m.facebook.com/story.php?story_fbid=1685419825164543&id=100010896257158",5/7/2022,MagandaAko_90,1,2
"Bokya ang mga kakampink dahil mali ang hula nila na si Marian Rivera ang pangalawang “Darna” na dadalo sa campaign sortie ni Vice President Leni Robredo sa Cavite noong Mayo 1.
https://tnt.abante.com.ph/mga-kakampink-bokya-kay-marian/
#TunayNaTabloidista 
#AbanteNews
#MarianRivera
#Halalan2022",5/2/2022,AbanteNews,0,0
"IPANALO ANG BBMSARA! ❤️💚
#BBMSaraUNITEAM #BBMSARA2022 
#UNITEAM #BBMIsMyPresident2022 
#Halalan2022 
Share this poster far and wide. ✌️👊",5/3/2022,mond_di_a,145,493
"Caravan for BBMSARA from Sta Cruz to Solaire venue.
#PHVote #Halalan2022 #Philippines #Mayo2022 
https://twitter.com/Mainej29/status/1522586116226187264/video/1",5/7/2022,BayanihanToday,17,59
"ISANG LINGGO NA LANG #Halalan2022
NA KAYA WALANG KUKURAP AT MATUTULOG SA ARAW NG BOTOHAN. 🤭

IPANALO ANG BBMSARA #UniteamUniteInILOILO",5/3/2022,iamshoberamos,10,34
"Marcos-Duterte ✌️👊❤️💚

Let's go UniTeam for the win ❤️💚✌️👊
#BBMSaraUNITEAM 
#BBMSARA2022
#BBMSARA
#Halalan2022",5/6/2022,JennieLZ27,1,4
3 days na lang to #Halalan2022 Sleep well the next couple of days dahil malapit na walang tulugan! IPANALO ANG BBMSARA #BBMSaraUNITEAM #BBMFORPRESIDENT2022,5/6/2022,nia_6js,2,6
#BBMSaraUNITEAM #BBMSARA #LeniKiko #kakampinks #Halalan2022,5/4/2022,Jhnplpnglnn06,0,0
"Why vote for lenikiko and no to BBMSARA.
and
Why vote for BBMSARA and no for lenikiko?
#LeniKiko2022
#Halalan2022 
#BBMSARA2022",5/6/2022,FSaromandang,0,0
"Grabe kayo Iloilo. 

IPANALO ANG BBMSARA sa darating na #Halalan2022 . 
-ctto Atty Vic",5/3/2022,MagandaAko_90,1,0
"Hello, I found a post here saying that Dr. Minguita Padilla endorsed BBMSARA but I lost it because nag refresh yung feed ko. Can someone help me find it?

#Halalan2022 
#LeniKikoAllTheWay2022 
#KulayRosasAngBukas 
#ipanalona10nto",5/3/2022,AngelineAcanti3,0,1
"Apo lakay 
@bongbongmarcos
 nakahanda na ba ang tonetoneladang kape? #WalangTuluganSaBilangan #Halalan2022 #Eleksyon2022 #UniTeam #BBMSara",5/1/2022,jon_canete,0,4
Kung sino man ang sumoporta sa kalapastanganan ng anak na to sa kanyang ina ay no lesser than an animal in wild forest. #stockmarketcrash #Halalan2022 #BBMSaraUNITEAM #IPANALO ANG BBMSARA,5/6/2022,iamDjMj69,0,1
"SALAMAT ILO-ILO! 

IPANALO ANG BBMSARA
#UniTeamUnitelnILOILO 
#BBMIsMyPresident2022 
#UniteamBBMSara2022 
#Halalan2022
#ILOILOisPink
#ILOILOisNOTPink",5/3/2022,BrennyKho,0,0
"D pa ako nka move-on sa INC pero d papakabog ang Iloilo.. Grabe ang support. 

IPANALO ANG BBMSARA sa Mayo 9. #UniTeamUniteInILOILO #Halalan2022",5/3/2022,MagandaAko_90,2,2
"Siyam na araw nalang, mapupuntang muli sa ating mga kamay ang kapangyarihan na may kakayahang magtakda ng magiging direksyon ng ating bansa sa susunod na anim na taon
#Halalan2022 #LeniKiko #BBMSara #LacsonSotto #PacquiaoAtienza #DomagosoOng",5/1/2022,waltreisenberg,0,0
"Wait tama ba narinig ko? WALANG TAO WHAT THE FUCK🤣🤣🤣
#KayLeniPatayTayo 
#KayLeniTalo 
IPANALO ANG BBMSARA
#UniTeamUniteInILOILO 
#BBMIsMyPresident2022 
#LeniKikoAllTheWay 
#Halalan2022",5/3/2022,beboy1435254,1,1
"✌️🇵🇭👊 SOLID. 
♥️ 
@bongbongmarcos
 
💚 
@indaysara
 
♥️🫶💚 #UNITEAM #BBMSara2022 #Halalan2022",5/6/2022,DawnZpost,34,1192
"Statement of 
@bongbongmarcos
 on the endorsement of INC.

The PFP standard-bearer describe the group's support as a great drive to serve the country even better. 

#PartidoFederalngPilipinas
#UniTeamBBMSara
#Halalan2022",5/4/2022,PartidoFederalP,47,166
"The hottest items for sale after the elections will be red #BBM tshirts and airline tickets.
@bongbongmarcos
 #Halalan2022 #BilangPilipino2022 #Eleksyon2022",5/5/2022,JstToTheQuick,8,41
"On May 9, 2022 let the eagle fly and the tiger roar.. #BBMSARA2022 for the win. #bongbongmarcos #saraduterte #Halalan2022 #BBMSaraUNITEAM #BBMIsMyPresident2022",5/7/2022,taurussunrise27,0,0
"Just love, no hate. Respect each other decision. Vote wisely! 
Ctto. ❤💚

#BBMSARA2022
#UniTeam2022
#Halalan2022
#bongbongmarcos 
#IndaySaraDuterte",5/5/2022,jelykasolis24,0,0
I hope #bongbongmarcos will NOT be elected as the next President of The Philippines 🇵🇭🙄. #Halalan2022,5/7/2022,JericLoz,0,0
Ang ganda mo miss dawn 😍 #UniTeamMindanao #BBMSARAH2022 #Halalan2022,5/7/2022,LavenderSophie,0,0
"As we enter the last day of campaigning, 
@bongbongmarcos
 
@ernieabella
 
@IskoMoreno
  
@lenirobredo
 
@leodymanggagawa
 
@MannyPacquiao
  
@NBGonzalesph
  
@iampinglacson
, I ask you to stand for truth and justice #PledgeToFreeLeila @SenLeiladeLima  if elected. 
#PHVote #Halalan2022",5/7/2022,jedikristina,1,3
"#BBM is probably the most watched, monitored, scrutinized and hounded candidate ever to run for any position on earth..
BBM's campaign is not run on stolen funds. It is fueled by reality, & the practical minds who get it when they see it.
@bongbongmarcos
 #Halalan2022 #Philippines",5/4/2022,JstToTheQuick,21,39
"How much did they pay to post this hahahh  #Halalan2022 #BBMSARA2022 
@bongbongmarcos
 look!",5/6/2022,8potatoooo,0,0
"@bongbongmarcos
 is number 7 not 10.
Let me educate you. Seven ang kanyang numero.
#UniteamBBMSara2022 #Halalan2022",5/5/2022,CasseyBar9,0,0
"7days bago ang halalan, sino ang iboboto mong susunod na Pangulo ng Pilipinas?

#BongbongMarcos #IskoMoreno #LeniRobredo #PingLacson
#Halalan2022",5/2/2022,KaPOLLista,5,4
"That is why I choose him as my President. Can't the others see how well mannered he is? #Halalan2022 has become a catalyst for some to hope for the brighter future after BBM declared his candidacy. BBM supporters on the other hand, knows the definition of RESPECT. #BBMSaraUNITEAM",5/2/2022,UrStellaAmare,0,5
"Probably the CUTEST photo taken during the entire campaign period of 
@bongbongmarcos
.

#Halalan2022 
#Eleksyon2022 
#PHVote",5/4/2022,Knightmare415,2,17
"😍🥰 Sobrang nakakataba ng puso ang suporta ng tao kay sir 
@bongbongmarcos
 6days away to election day. Malapit na,I’m happy for you po. Stay healthy and safe🙏🏽
@GrowlHarhar
 
@jobjorl
 ♥️💚 https://fb.watch/cMaEDp7X4-/ #Halalan2022 https://fb.watch/cMaEWbRwLC/",5/3/2022,creme660,1,1
"sir erwin tulfo is watching✌️ 
#BBMSaraUNITEAM 
#bongbongmarcos 
#Halalan2022",5/7/2022,lovelygiven01,0,1
The supreme art of war is to subdue the enemy without fighting. #Halalan2022 #BabyM #KakampINC  #BBMSARA2022,5/4/2022,diwatamisa,0,2
"PAPUNTA NA SILAAAA!!

#unithieves #kulayrosasangbukas #kakampinc #katoliko #lenikikoalltheway2022 #babym #lenirobredo #kiko #lenslide Angat Buhay Lahat #Pilipinas #Iglesia #Magnanakaw #Marcos #Uniteam #DocTricia #AngatletasaAraneta #halalan2022 #magnanakaw #LeniLiwanagSaDilim",5/4/2022,veganvetph,0,1
"Ang dami naman hakot buses w babym/swoh stickers traversing Sucat, Parañaque atm.

#HALALAN2022
#LetLeniKikoLead2022",5/7/2022,sassymedgirl,0,0
"My anxiety might be coming from the uncertainty of what COMELEC might do and not do all in favor of babyM-swoh! 
#ProtectOurVotes
#NoToCheatingPHVote
#NoToMarcosDuterte2022 
#Halalan2022 
#LeniKikoAllTheWay2022",5/6/2022,eragon2024,0,0
"kapag bobo ang binoto Disgraya ang Pilipinas!!! mabubuhay lahat ng drug lord kasi my kamaganak sa naga na drug lord buhay ang komunista kasi tuta ni joma ito hindi fake news bobo minors at useless sa may 9 nlng hindi maniniwala 
#Bardagulan 
#Halalan2022",5/6/2022,babym_31,1,4
Hala na pressure agad yung babym 😭😭😭 #HALALAN2022,5/5/2022,Mis0soup8,0,1
"The election is fast approaching, but I still haven't read, encounter a logical answer to ""why BabyM.""

Palagi nalang gawa ng tatay niya ang sinasagot, paano naman siya? Ano ang nagawa at magagawa niya para sa bansa at para sa sambayanan?
#Halalan2022",5/5/2022,roanagv,0,0
"Coincidentally, the tandem of Bongbong Marcos & Sara Duterte are holding their first Miting de Avance in Guimbal, Iloilo.

But Ilonggos proved once again they're pink, as thousands joined the caravan from Santa Barbara culminating in a thanksgiving program in La Paz. #Halalan2022",5/3/2022,JervisManahan,1114,9713
"It's final, Duterte says he will not endorse any presidential candidate days before #Halalan2022. He also urged his Cabinet members not to endorse any political bets as much as possible.

""Wala akong kandidato sa pagkapresidente ngayon hanggang Disyembre,"" he says.",5/3/2022,jobmanahan,71,592
"Bongbong Marcos, Sara Duterte express deepest gratitude to the Iglesia Ni Cristo for their endorsement. 
#Halalan2022 #Philippines #Sara #BBM #IglesiaNiCristo",5/4/2022,BayanihanToday,22,166
"IT'S FINAL!

@bongbongmarcos
 and running mate Mayor Inday Sara Duterte gets major endorsement from influential INC.

#PartidoFederalngPilipinas
#UniTeamBBMSara
#Halalan2022",5/3/2022,PartidoFederalP,34,112
"Sa totoo lang talaga, for millions of Filipinos, a Marcos-Duterte government is a death sentence. #Halalan2022",5/3/2022,kolsenertito,29,140
"Marcos-Duterte ✌️👊❤️💚

Let's go UniTeam for the win ❤️💚✌️👊
#BBMSaraUNITEAM 
#BBMSARA2022
#BBMSARA
#Halalan2022",5/6/2022,JennieLZ27,1,4
"Please educate your children on what's happening right now. Upcoming big changes are coming. 

It is important that the children are well-informed. Wag po nten sayangin effort ni PRRD

MARCOS DUTERTE TAYO #UniTeamMindanao
#SalamatINC #Halalan2022",5/5/2022,MingMing09999,10,32
"""Tama na po! May test pa ko bukas!"" - Kian delos Santos, Extrajudicial Killing victim under the Duterte regime

I will never forget this.

💗🌸🌷
#Halalan2022 #PilipinasIsPink
#MakatiIsPink #PhilippinesIsPink #10LeniRobredoPresident 
#7KikoPangilinanVicePresident
#Philippines",5/7/2022,"LaLaHerbert
",7,15
"As I've said in an earlier tweet:

These are examples that, UNLIKE Marcos Jr & Sara Duterte's denial of their fathers' crimes, criminals' children can do something for justice, too.

#NeverAgain #Halalan2022 #MarcosNOTaHero #MarcosMagnanakaw",5/4/2022,sosyolohija,106,623
"In geopolitics, no permanent friends and enemies. Learn how to be independent and play along like the old man, Rodrigo Duterte. Historically, US has never been trustworthy. Our latest exhibits are Afghanistan and Ukraine. #Halalan2022",5/6/2022,Taurean_Jann,0,0
"Up to sometime last week, I was seriously considering Leni-Tito. If just to prevent another Duterte. 

Made up my mind. Now I can say, I will vote for Leni-Kiko. 

Sa bawat Leni sa balota, may Kiko na kasama. 

#JUSTsaying #Halalan2022 #LeniKikoAllTheWay #LeniLiwanagSaDilim",5/4/2022,imjust_intime,0,7
"Kim Falyao, Deputy Secretary-General of Katribu Youth, shares the experiences of indigenous peoples under the Duterte administration. 

#Halalan2022
#IPs4LeniKiko
#IpanaloNa10Ito",5/5/2022,katribu_natl,5,8
"We hope the killings end if Marcos wins. 

We talked to the “56 percent” today at the ground zero of #Duterte’s drug war. Respondents full of hope for a #Marcos presidency. 

#fieldwork #Halalan2022 #TheFilipinoVotes",5/2/2022,NicoleCurato,4,49
"Tell me why should I not vote for this renowned economist, socialist, activist vs your chosen vice president? 
Especially Kiko Pangilinan and Sara Duterte? 🤔
#Halalan2022",5/7/2022,joteps,0,0
"Sa mga bumoto kay Duterte noong 2016, here's your receipt:

12,000 dead from EJK, including 54 children.

Php12 Trillion in debt, the highest in history.

Perhaps vote better this time?

#NeverAgain
#NeverForget
#LetLeniLead 
#Halalan2022",5/7/2022,emailnimark,0,1
"Anyone has a right to run for office or not in any particular position. BUT it's always the pople who will choose. Well, I was kind of blaming Mar Roxas for not withdrawing in 2016 in favor of Grace Poe that's why we have Duterte in the first place.

#Halalan2022",5/6/2022,BradBen2020,0,1
"When i asked him why he still voted for Duterte, he said ""Maoy napili sa simbahan na suportahan"" 
#Halalan2022",5/3/2022,CasseyBar9,0,0
"Relevant articles on debt and PH debt:

“I cannot comment on that because I am not conversant with the facts of the case"" (conversant meaning ""familiar"" or ""well-informed"") - Mayor Sara Duterte

#PHVote #Halalan2022",5/3/2022,wangwithbae,0,0
"Sara Duterte: Respect election results, support winners
https://facebook.com/politics.com.ph/videos/797188927922193
@indaysara

@UNITEAM_PH 
#halalan2022
#election2022
#Eleksiyon2022",5/6/2022,PolitikoWatch,0,0
Some members of Iglesia ni Cristo (Church of Christ) publicly voiced their vote for Vice President Leni Robredo after the church known for block voting endorsed the Bongbong Marcos - Sara Duterte tandem. The move that could boot them out of the church. #Eleksyon2022 #Halalan2022,5/4/2022,anthesguerra,13,68
"The kind of pain that stays with you.
And to the next of kin of Marcos + Duterte enablers learn from this. It is your future too. Imagine the kind of stories you will have to tell to your own kids, nothing but shame. #PHVote #Halalan2022 #Eleksyon2022 
https://rappler.com/voices/imho/opinion-open-letter-grief-loren-legarda-son/",5/4/2022,janeysaurus_,0,0
"UNITEAM MITING DE AVANCE

Supporters attend the miting de avance of running mates former senator Bongbong Marcos and Davao City Mayor Sara Duterte at Solaire Resort and Casino in Paranaque City on Saturday, 7 May. | 📸 Yummie Dingding

#halalan2022
#UniTeam
#BBMSARA2022",5/7/2022,dyaryotirada,0,2
Same thoughts sa mga bumoto kay Duterte and we ended up with a corrupt Supreme Court and COMELEC. Isang araw lang ang election but your vote will have consequences beyond that one day. #Halalan2022,5/3/2022,kulotissima,0,0
"A message to Marcos / Duterte voters next Monday:
Stay at Home.
Save lives.
Protect democracy and rule of law. #Halalan2022 #PHVote",5/7/2022,Vpedrosa,3,15
"Bello says that their government will prioritize human rights and will free detained Sen. Leila de Lima and the prosecution of Pres. Rodrigo Duterte in the ICC. #Halalan2022 | 
@ABSCBNNews",5/3/2022,josiahvantonio,3,3
"Refocus & look at the common good for our entire nation. Six years na naman ito. Kulang pa ba ang 20 years of Marcos and 6 years of Duterte? Gising na, bumangon tayo at tumindig para sa buong sambayanan. #halalan2022 #letlenilead #kikoismyv",5/3/2022,paoloherras,0,4
"Asked about choosing between self-sufficiency and food security, Bello shifts and raises his concern over the lack of venue to debate with rivals Bongbong Marcos and Sara Duterte-Carpio. #Halalan2022 | 
@ABSCBNNews",5/3/2022,josiahvantonio,0,3
"Goosebumps! Our NEXT VICE PRESIDENT! INDAY SARA DUTERTE!!! 🇵🇭💚

#BBMSaraUNITEAM
",5/7/2022,boogumtastic,17,55
"Good governance starts with our generation. Laban Millenials at Gen Z. 

#Halalan2022
#Ipana7oNa10ParaSaLahat 
#LeniKikoAllTheWay2022 
#BBM #ISKO #PING #PACQUIAO",5/6/2022,pinkarmy1004,2,3
"Manny Pacquiao is reckless to control. BBM must defeat  him. 

PROUD LOYALISTA AKO
#Halalan2022 
#MitingDeAvance 
#BoycottFakeNews5",5/6/2022,LebAckerman08,0,0
plot twist: si pacquiao ang nanalo sa #Halalan2022,5/6/2022,USER96847052,0,16
"May nanalo na! Re: PDP-Laban legitimacy #Halalan2022 well, for obvious reasons even Pacquiao didn’t carry that. 🤣",5/6/2022,Taurean_Jann,0,0
"Manny Pacquiao (Punch Man)

Although he gives pastor energy, Pacquiao’s impeccable intentions could punch through people’s sympathy, and not in the least opacity, he could fulfill to knock out corruption as president and as a self-entitled “Man of Destiny.”

#Halalan2022",5/7/2022,awry_ter,0,0
"So browsing my facebook:

-VP Leni released Economic Recovery Program.
-88M denied having army of trolls. 🙄
-Pacquiao pays tribute to fallen journalists.
-Ka Leody recieves endorsement from Chomsky.
-Isko Moreno wants a gold medal for talking.

#Halalan2022",5/4/2022,rodmagaru,2,24
Bumoto ng taong katulad mo! #Halalan2022 #LeniLiwanagSaDilim #LaniKiko2022 #BBMSaraUNITEAM #IskoMoreno #Lacson #Pacquiao #Robredo #Marcos #Philippines #ThinkBeforeYouVote,5/2/2022,MakoyBautista,1,3
"Leadership by example (1 of 2)

Kung ayaw mo rin magbayad ng tax, boto mo si BBM

Kung ayaw mo ibalik ang sukli kasi mgbabayad ka naman ng tax, kay Isko ka

Kung gusto mo pataasin ang ""revenue income""  mo, kay Pacquiao ka

#Halalan2022",5/3/2022,denver_4ever,0,0
"If you are for Leni, for BBM, for Pacquiao or whoever your presidential candidate is, I hope you consider #54 P3PWDpartylist in your ballots on may 9, para mabigyan din ng boses ang mga may kapansanan at mga senior citizens. Tinkyow hihi
#Halalan2022 #Eleksyon2022",5/7/2022,arkaH2O,1,0
"Gobyernong Tapat, Angat Buhay Lahat; at Sama Sama Tayong: Babangon Muli paminsan-minsan lang.

Leni-Isko-Pacquiao-Leody-Marcos fans ka man, iboboto mo rin Ang DIYOS!!! #Halalan2022 #StaySafePH",5/5/2022,RonaldBarniso,0,0
"""Man of Destiny: For God and Country""

Nais namang pagtuunan ng pansin ng tandem na Pacquiao at Atienza ang pagwawakas ng korapsyon at kahirapan.

#MatanglawinElectionSeries
#Halalan2022",5/7/2022,MatanglawinADMU,1,1
"#Halalan2022  
@EmmanuelpacJr
 joins Team Pacquiao for a gathering in Historic Filipinotown in support of Manny Pacquiao’s Presidential Campihn. Several MP Promotions fighters also joined the crowd which included many members of the Pac-Man’s LA Entourage.",5/2/2022,StevieAngeles,1,3
Pacquiao tiwalang makakakuha ng maraming boto sa Cebu #Halalan2022,5/4/2022,DZMMTeleRadyo,1,0
Pacquiao nangakong ibabangon ang Mindanao kapag nanalo #Halalan2022,5/3/2022,DZMMTeleRadyo,1,2
"Campaigning continues for PROMDI presidential bet, Sen 
@MannyPacquiao
 in Valencia, Bukidnon. This time, Team Pacquiao courts the support of three indigenous peoples and other local communities of Bukidnon. #Halalan2022",5/2/2022,sherieanntorres,0,6
"Ferdinand Marcos Sr. is the only MARCOS that WE WANTED BACK in Malacanang and not the junior one.
#WeDecide 
#Halalan2022 
#PHVote 
#VotePH 
#Desisyon2022",5/7/2022,NoShoestofill,0,0
"Mga taga-suporta ni Mayor 
@IskoMoreno
, naglakad sa Parliament Square sa London sa huling araw ng kampanya para sa #Halalan2022 
@TFCNewsNow
 
@ABSCBNNews",5/7/2022,JoeferTacardon,26,78
"There's still time to change your mind. 
@IskoMoreno
 will take care of your health aside from having a peace of mind if elected president. #Halalan2022 #SwitchToIsko",5/6/2022,BradBen2020,10,27
"As we enter the last day of campaigning, 
@bongbongmarcos
 
@ernieabella
 
@IskoMoreno
  
@lenirobredo
 
@leodymanggagawa
 
@MannyPacquiao
  
@NBGonzalesph
  
@iampinglacson
, I ask you to stand for truth and justice #PledgeToFreeLeila @SenLeiladeLima  if elected. 
#PHVote #Halalan2022",5/7/2022,jedikristina,1,3
"Why does 
@IskoMoreno
 keeps on insisting that #Halalan2022 is between the yellows and the reds? #IskoTerte",5/1/2022,dkarlocastro,0,0
"Let's move for a better Philippines 

#SwitchToIsko #KayIskoPosible #IskoMoreno #Halalan2022",5/7/2022,Politics_Ph22,2,6
"pag nanalo ng Presidente may History sa  Corruption...wag kayong mang bubugbog ng Holdaper sa kalye ah pagnahuli nyo ....kahiya nman sa Binoto  nyong  Presidente🤣🇵🇭🇵🇭
@IskoMoreno
 
@iampinglacson
 
@MannyPacquiao
 
@lenirobredo
 
#Halalan2022",5/3/2022,Lisdel02,0,0
Bumoto ng taong katulad mo! #Halalan2022 #LeniLiwanagSaDilim #LaniKiko2022 #BBMSaraUNITEAM #IskoMoreno #Lacson #Pacquiao #Robredo #Marcos #Philippines #ThinkBeforeYouVote,5/2/2022,MakoyBautista,1,3
Tigilan mo na ang pagpaparinig mo #IskoMoreno.Si #LeniRobredo ang Freddy Krueger sa political career mo.Walang lugar sa malinis na pamamahala ang mga katulad mong pansariling interes lamang ang iniisip.#MitingDeAvance2022 #Halalan2022 #LeniIsOurPresident #LeniKikoAllTheWay2022,5/7/2022,OshinSitter,0,0
